Title,Rating,Votes,Duration,Genre
Meet Me Next Christmas,5.7, 8.5K,1h 45m,comedy
Peter Five Eight,3.5, 1.1K,1h 40m,comedy
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,comedy
Peacock,7.3, 407,1h 42m,comedy
Time Travel Is Dangerous,6.7, 146,1h 39m,comedy
Premalu,7.8, 19K,2h 36m,comedy
Io e te dobbiamo parlare,4.2, 233,1h 35m,comedy
We're All Gonna Die,8.2, 91,1h 50m,comedy
The Underdoggs,5.6, 4.6K,1h 36m,comedy
Longing,4.7, 809,1h 51m,comedy
Lost & Found in Cleveland,8.5, 31,PG-13,comedy
Autumn and the Black Jaguar,5.6, 996,1h 40m,comedy
Three Friends,6.6, 698,1h 57m,comedy
The Tiger's Apprentice,5.7, 2.2K,1h 24m,comedy
Plan B,5.9, 1.1K,1h 30m,comedy
I Love You Forever,5.6, 179,1h 29m,comedy
The Gentleman,7.9, 97,1h 43m,comedy
Unspeakable: Beyond the Wall of Sleep,6.2, 50,1h 30m,comedy
Timestalker,5.5, 2.9K,1h 29m,comedy
U Are the Universe,7.7, 264,1h 30m,comedy
Half Baked: Totally High,4.6, 348,1h 37m,comedy
Dongeng Sang Kancil,6.7, 166,1h 39m,comedy
London Calling,7.8, 20,1h 49m,comedy
Arena Wars,4.8, 2.1K,1h 36m,comedy
Seven Cemeteries,4.5, 560,1h 24m,comedy
"Love, Divided",6.0, 4.6K,1h 38m,comedy
Broken Rage,6.1, 1.4K,1h 2m,comedy
Al otro barrio,5.2, 93,1h 48m,comedy
Mars,8.9, 21,1h 24m,comedy
City Hunter,6.3, 5.6K,1h 42m,comedy
Yolo,6.9, 3.7K,2h 9m,comedy
Die Hart 2: Die Harter,4.3, 5.5K,1h 32m,comedy
Cheerleaders Behaving Badly,7.4, 9,2h,comedy
The Present,5.5, 869,1h 26m,comedy
Cocorico,5.8, 3.2K,1h 32m,comedy
Inheritance,5.1, 3.5K,1h 34m,comedy
A House on Fire,7.3, 3.3K,1h 45m,comedy
You Are the Apple of My Eye,7.5, 3.4K,1h 41m,comedy
The Other Way Around,6.4, 1.4K,1h 54m,comedy
Her Story,7.6, 1.8K,2h 3m,comedy
