Title,Rating,Votes,Duration,Genre
Appudo Ippudo Eppudo,4.7, 230,2h,Action
The Traveller,5.2, 207,2h 14m,Action
Hitler,5.2, 304,2h 8m,Action
Premalo,7.3, 1.1K,2h 8m,Action
Hakkenden,5.8, 75,2h 29m,Action
The Bouncer,4.1, 88,1h 18m,Action
Sabari,6.6, 5.4K,2h 9m,Action
Nothing Even Matters,5.5, 77,1h 30m,Action
(Pri)sons,5.1, 270,1h 40m,Action
Naam,6.3, 277,2h 16m,Action
Siren,6.4, 2.9K,2h 34m,Action
Lisabi: The Uprising,6.1, 125,1h 47m,Action
Mazhai Pidikatha Manithan,4.5, 424,2h 13m,Action
Holy Punch,5.2, 48,1h 38m,Action
5 Pounds of Pressure,6.7, 14,1h 51m,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.4, 20,1h 56m,Action
Prepare to Die,4.6, 232,1h 33m,Action
Gandhi 3,5.5, 239,2h 23m,Action
Sucha Soorma,6.4, 917,2h 16m,Action
Correr para Vivir,7.0, 197,1h 37m,Action
Rob N Roll,6.1, 1.5K,1h 38m,Action
Next to Us,4.9, 222,2h 5m,Action
Aserb: The Squadron,5.2, 306,2h,Action
The Day Everything Changed,7.9, 79,1h 37m,Action
The Epidemic,5.7, 71,1h 35m,Action
Orang Ikan,6.7, 34,1h 23m,Action
Bond of Justice: Kizuna Part I - Encounter,6.2, 18,1h 32m,Action
Bhairadevi,8.8, 48,2h 14m,Action
12 Gaun,6.4, 883,2h 27m,Action
Devaki Nandana Vasudeva,6.5, 2.7K,2h 8m,Action
Turbo,5.9, 3.6K,2h 35m,Action
Matka,4.7, 584,2h 36m,Action
Sentimentaaal,5.8, 975,2h 15m,Action
Mobile Suit Gundam SEED Freedom,6.6, 945,2h 4m,Action
The Firefighters,5.7, 185,1h 46m,Action
Diabel,5.1, 246,1h 48m,Action
Road Wars: Max Fury,2.0, 350,1h 23m,Action
Captain Miller,6.5, 8.6K,2h 37m,Action
Zebra,7.2, 3.2K,2h 44m,Action
Echo 8,3.9, 198,1h 36m,Action
Kondal,5.4, 768,2h 27m,Action
They Call Her Death,6.7, 27,1h 32m,Action
The Plot,4.8, 379,1h 40m,Action
Samandar,7.7, 139,2h 52m,Action
The Evil Three,6.7, 978,30m,Action
The Wild Blade of Strangers,6.2, 113,1h 42m,Action
Checkmate,4.3, 389,1h 44m,Action
The Mick and the Trick,4.9, 76,1h 36m,Action
Tòkunbò,3.9, 296,1h 53m,Action
Texas Twister,2.5, 157,1h 28m,Action
Rang De Basanti,8.8, 144,2h 54m,Action
The Circuit 4: Faith Fighter,4.4, 88,1h 30m,Action
The Miranda Brothers,4.4, 190,1h 39m,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0, 31,50m,Action
Camp Blood: Clown Shark,3.3, 87,1h 10m,Action
Panjab Files,8.2, 20,1h 57m,Action
Stuntman,6.9, 166,1h 54m,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 40,1h 22m,Action
Ship of the Damned,2.8, 295,1h 28m,Action
SCP: The Infinite Mission,6.0, 32,16+,Action
Sector 17,5.5, 1.3K,2h 26m,Action
Dr. Jason II - Lights & Shadows,4.9, 328,1h 2m,Action
Bandaa Singh Chaudhary,6.3, 5.2K,1h 53m,Action
Bhaiyya Ji,4.8, 7.4K,2h 30m,Action
The Infallibles,4.8, 751,1h 39m,Action
The Slave and the Sorcerer,6.7, 40,1h 26m,Action
Agastya - Chapter 1,6.9, 597,2h 48m,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, 17,1h 30m,Action
Neon Fear,5.9, 522,40m,Action
Blocking the Horse,6.5, 12,1h 34m,Action
Mechanic Rocky,6.4, 3.5K,2h 36m,Action
Pottel,8.2, 2.7K,2h 28m,Action
Major Grom: The Game,6.1, 1.8K,2h 48m,Action
First Nights at Freddy's,9.3, 16,1h 38m,Action
Dreams,7.6, 8,1h 46m,Action
Rendel: Cycle of Revenge,3.6, 245,1h 39m,Action
Bull Shark 2,3.0, 157,1h 15m,Action
Ballistic,2.2, 161,1h 35m,Action
Karma,4.5, 17,1h 51m,Action
Young Lion of the West,5.2, 108,1h 33m,Action
Witch Hunter,5.3, 24,1h 20m,Action
Mathu Vadalara 2,7.0, 1.7K,2h 19m,Action
Shu Si Yi Bo,6.6, 32,1h 31m,Action
Anchakkallakokkan,6.6, 1K,2h 6m,Action
Fyre Rises,6.5, 322,1h 50m,Action
My Fathers' Daughter,6.7, 74,1h 18m,Action
Mirza: Part 1 - Joker,6.8, 240,2h 45m,Action
Snatched,4.9, 209,1h 41m,Action
Desperado,6.0, 141,1h 40m,Action
Crosspoint,6.8, 41,1h 40m,Action
Onsen shâku,5.8, 31,1h 10m,Action
Taklee Genesis x Worlds Collide,5.4, 404,2h 26m,Action
The Grey Men,6.4, 70,1h 37m,Action
Losing Lerato 2,9.1, 33,1h 36m,Action
Mr. Bachchan,3.6, 5.3K,2h 30m,Action
High Forces,5.8, 525,1h 59m,Action
Yuva,5.8, 834,2h 33m,Action
Slide or Die the Movie,9.2, 8,2h 7m,Action
Kung Fu Games,3.3, 379,1h 38m,Action
Clone Cops,8.0, 191,1h 36m,Action
The Last Chainsaw Massacre,3.8, 41,1h 15m,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5, 85,1h 15m,Action
