Title,Rating,Votes,Duration,Genre
Brandy Hellville & the Cult of Fast Fashion,6.2, 1.1K,1h 31m,documentary
Children of the Cult,7.8, 97,1h 15m,documentary
From Darkness to Light,7.4, 172,1h 48m,documentary
The Sidemen Story,6.7, 1.7K,1h 39m,documentary
Saudade,7.6, 8,1h 4m,documentary
Tiger,7.8, 582,1h 30m,documentary
Sabbath Queen,8.0, 63,1h 45m,documentary
Government Gangsters,4.0, 323,1h 4m,documentary
Hyper: The Stevie Hyper D Story,8.8, 30,1h 31m,documentary
The Road to Patagonia,7.8, 117,1h 30m,documentary
Devo,7.3, 84,1h 30m,documentary
Mysteries of the Terracotta Warriors,6.7, 1.6K,1h 17m,documentary
Topli film,7.8, 31,1h 32m,documentary
Pet Farm,8.0, 29,1h 23m,documentary
Bam Bam: The Sister Nancy Story,8.2, 35,1h 38m,documentary
Alice: On & Off,7.4, 113,1h 30m,documentary
August,8.5, 3K,52m,documentary
Wisdom of Happiness,7.1, 106,1h 30m,documentary
The Rubber-Keyed Wonder,7.6, 120,2h 21m,documentary
Stopping the Steal,7.4, 1.5K,1h 30m,documentary
The Mountain Within Me,6.7, 161,1h 29m,documentary
Vindicating Trump,4.0, 1.6K,1h 36m,documentary
The Battle for Laikipia,8.1, 92,1h 34m,documentary
The Accidental Twins,7.2, 1.1K,1h 24m,documentary
If Jack Reacher Could Sing,7.6, 12,31m,documentary
Patrice: The Movie,8.3, 225,1h 42m,documentary
Yintah,7.8, 269,1h 50m,documentary
Nasty,7.8, 1.1K,1h 43m,documentary
Surveilled,6.2, 665,1h,documentary
Miyazaki: L'Esprit de la Nature,7.1, 200,1h 24m,documentary
Tata,7.4, 34,1h 22m,documentary
Black Snow,8.0, 33,1h 36m,documentary
Housewife of the Year,7.6, 50,1h 21m,documentary
The White House Effect,8.2, 36,1h 34m,documentary
Power,6.1, 822,1h 29m,documentary
"I Am the River, the River Is Me",6.7, 124,1h 28m,documentary
The Bridge,4.1, 26,1h 25m,documentary
"Jeste nejsem, kým chci být",7.7, 234,1h 30m,documentary
Disco's Revenge,7.2, 93,1h 40m,documentary
ADA: My Mother the Architect,6.0, 22,1h 21m,documentary
An Open Door: Temple Grandin,8.6, 8,1h,documentary
The Bad Guy,7.7, 54,1h 9m,documentary
Seeking Mavis Beacon,5.8, 186,1h 42m,documentary
MANipulation,4.2, 22,1h 13m,documentary
Larger Than Life: Reign of the Boybands,6.8, 279,1h 35m,documentary
Freaknik: The Wildest Party Never Told,5.9, 439,1h 22m,documentary
Fear and Love: The Story of the Exorcist,8.4, 31,1h 1m,documentary
Shine On: The Forgotten Shining Location,7.7, 70,25m,documentary
In Waves and War,8.7, 8,1h 47m,documentary
Homegrown,7.5, 91,1h 49m,documentary
Living with Leopards,7.4, 825,1h 11m,documentary
Nature of the Crime,6.5, 125,1h 29m,documentary
Chain Reactions,7.2, 96,1h 43m,documentary
Little Empty Boxes,8.5, 30,1h 40m,documentary
Shadowland,6.5, 157,1h 38m,documentary
All the Mountains Give,8.9, 29,1h 31m,documentary
Line in the Sand,8.7, 106,1h 40m,documentary
Tactical Empathy,8.8, 13,1h,documentary
Stripped: Nashville,5.2, 56,1h 22m,documentary
Aneta,6.7, 86,1h 40m,documentary
#UNTRUTH: The Psychology of Trumpism,6.9, 179,1h 30m,documentary
Architektura CSSR 58-89,7.9, 63,2h 6m,documentary
Klitschko: More Than a Fight,6.3, 503,1h 36m,documentary
Praslovan,8.2, 18,1h 30m,documentary
Lie to Me,7.5, 30,1h 34m,documentary
Murder at First Swipe,6.7, 154,1h 35m,documentary
Men of War,7.9, 28,1h 38m,documentary
Hacking Hate,5.4, 470,1h 26m,documentary
Direct Action,5.5, 59,3h 36m,documentary
Blackpink: World Tour - Born Pink,7.7, 276,1h 33m,documentary
A Clockwork Shining: Kubrick's Odyssey 3,5.7, 33,1h 49m,documentary
My Dearest Fu Bao,7.2, 87,1h 34m,documentary
The Chasers of Tornado Alley: Touching the Sky,9.4, 17,48m,documentary
Illusions for Sale: The Rise and Fall of Generation Zoe,6.2, 640,1h 47m,documentary
Crónicas del absurdo,6.8, 14,1h 17m,documentary
Matt Rife: Lucid - A Crowd Work Special,6.4, 1.5K,54m,documentary
XRP Unleashed,9.6, 8,2h 20m,documentary
Happily Ever Laughter: The Darcy & Jer Story,7.1, 13,1h 23m,documentary
Stevie Van Zandt: Disciple,7.9, 662,2h 27m,documentary
Resynator,6.9, 84,1h 36m,documentary
Marching in the Dark,7.7, 43,1h 51m,documentary
Van Gogh: Poets & Lovers,8.3, 25,1h 30m,documentary
Songs of Slow Burning Earth,7.6, 238,1h 35m,documentary
The Doomsday Cult of Antares De La Luz,5.8, 1.1K,1h 40m,documentary
Bandidos - Ein Leben zwischen Freiheit und Gesetz,5.6, 32,1h 54m,documentary
Desire Lines,6.8, 112,1h 21m,documentary
Exclusion: Beyond the Silence,9.7, 15,1h 28m,documentary
From Roger Moore with Love,7.4, 329,1h 19m,documentary
Booty Warrior,8.4, 11,1h,documentary
Balomania,7.4, 177,1h 33m,documentary
Life After the NeverEnding Story,8.3, 63,1h 31m,documentary
Diving Into the Darkness,9.1, 82,1h 36m,documentary
Only Andy,5.4, 35,59m,documentary
Kevin James: Irregardless,5.7, 853,1h 2m,documentary
Untold: The Murder of Air McNair,5.6, 2.1K,57m,documentary
Daytime Revolution,6.8, 85,1h 48m,documentary
Louder: The Soundtrack of Change,6.4, 119,1h 1m,documentary
The Falling Sky,6.3, 50,1h 50m,documentary
The Sixth,6.8, 516,1h 46m,documentary
Chris Brown: A History of Violence,5.4, 314,1h 22m,documentary
Topuria Matador,7.1, 163,1h 35m,documentary
Vaxxed III: Authorized to Kill,4.0, 54,1h 57m,documentary
You Are Not Alone: Fighting the Wolf Pack,7.4, 1.4K,1h 42m,documentary
The Life and Deaths of Christopher Lee,7.2, 443,1h 39m,documentary
Suburban Fury,8.9, 12,1h 55m,documentary
Breaking Olympia: The Phil Heath Story,7.1, 260,1h 54m,documentary
American Tragedy 25,7.5, 13,1h 21m,documentary
*smiles and kisses you*,7.7, 13,1h 28m,documentary
Megan Thee Stallion: In Her Words,7.4, 1.7K,1h 52m,documentary
Seventeen Tour 'Follow' Again to Cinemas,8.1, 101,1h 43m,documentary
Jo Koy: Live from Brooklyn,6.6, 759,59m,documentary
Mariposas Negras,7.2, 50,1h 23m,documentary
Havumetsän lapset,7.2, 227,1h 33m,documentary
Outstanding: A Comedy Revolution,7.4, 745,1h 40m,documentary
El Mago Pop Lands in USA,6.1, 8,1h 35m,documentary
Mistress Dispeller,7.0, 118,1h 34m,documentary
Sam and Colby: The Legends of the Paranormal,4.8, 306,1h 38m,documentary
Open Wide,5.8, 458,1h 48m,documentary
Beyond the Tree Line,7.8, 21,2h 4m,documentary
Home Game,8.3, 13,1h 38m,documentary
Face of Hate,8.3, 15,1h 25m,documentary
Brendan Gleeson's Farewell to Hughes's,6.1, 19,1h,documentary
Made in Ethiopia,7.9, 64,1h 31m,documentary
Sins of Ireland,8.7, 10,1h 23m,documentary
Democracy Noir,7.0, 101,1h 56m,documentary
Realm of Satan,4.5, 85,1h 20m,documentary
Neshoma,8.0, 104,1h 28m,documentary
Russians at War,1.9, 1K,2h 9m,documentary
Vigilantes Inc.: America's New Vote Suppression Hitmen,9.1, 88,1h 18m,documentary
Ange & the Boss: Puskas in Australia,8.4, 26,1h 17m,documentary
Jimmy Carr: Natural Born Killer,6.7, 2.6K,59m,documentary
The Atlantis Puzzle,7.6, 72,1h 25m,documentary
Dharmaveer 2,5.4, 11K,2h 10m,documentary
Lost in the Shuffle,6.5, 171,1h 40m,documentary
Le garçon,6.3, 24,1h 37m,documentary
"At the Door of the House, Who Will Come Knocking",7.9, 35,1h 24m,documentary
Old World Order,7.8, 88,1h 30m,documentary
Jung Kook: I Am Still,8.2, 7.6K,1h 30m,documentary
Resistance: They Fought Back,7.5, 114,1h 40m,documentary
Pociagi,7.7, 51,1h 21m,documentary
Jesus Thirsts: The Miracle of the Eucharist,7.5, 69,1h 30m,documentary
Superhuman Body: World of Medical Marvels,6.7, 19,40m,documentary
"Us, Our Pets and the War",8.6, 408,1h 19m,documentary
"Carville: Winning Is Everything, Stupid",7.2, 263,1h 38m,documentary
Nosferatu: The Real Story,7.8, 27,1h 11m,documentary
Red Fever,7.5, 35,1h 44m,documentary
Coronation Girls,9.1, 20,1h 26m,documentary
It's Ok,8.2, 530,1h 30m,documentary
Garbo: Where Did You Go?,6.5, 24,1h 30m,documentary
Peaches Goes Bananas,6.2, 33,1h 13m,documentary
No Hamburg No Beatles,6.6, 76,55m,documentary
Heart of a Servant: The Father Flanagan Story,9.7, 41,1h 30m,documentary
Space Cowboy,9.0, 48,1h 38m,documentary
Dogs of War,7.1, 44,1h 30m,documentary
The Honorable Shyne,6.8, 160,1h 43m,documentary
Leap of Faith,7.8, 29,1h 26m,documentary
Queen Rock Montreal,8.5, 783,1h 35m,documentary
Vitalik: An Ethereum Story,8.7, 32,1h 25m,documentary
San Damiano,6.3, 9,1h 26m,documentary
The War on Children,5.7, 707,2h 21m,documentary
The Wolves Always Come at Night,7.5, 58,1h 35m,documentary
Teaches of Peaches,7.0, 258,1h 42m,documentary
Any Other Way: The Jackie Shane Story,8.5, 60,1h 38m,documentary
Det kunde varit vi,5.8, 91,1h 31m,documentary
Who in the Hell Is Regina Jones?,8.9, 16,1h 39m,documentary
Nice Ladies,7.5, 66,1h 32m,documentary
Le cinquième plan de La Jetée,6.2, 7,1h 44m,documentary
Girls State,6.6, 959,1h 37m,documentary
Files on JFK (60 Years),7.6, 10,2h 48m,documentary
A Want in Her,8.1, 16,1h 22m,documentary
"Someone's Daughter, Someone's Son",8.5, 17,1h 27m,documentary
Fortitude: Forging the Trillion Dollar Space Economy,6.2, 38,1h 28m,documentary
Follow the Rain,7.3, 119,1h 17m,documentary
Rainier: A Beer Odyssey,8.7, 16,2h 4m,documentary
A Quiet Girl,6.9, 35,1h 26m,documentary
A Sudden Glimpse to Deeper Things,6.1, 64,1h 28m,documentary
Eight Postcards from Utopia,6.3, 121,1h 11m,documentary
23 Mile,7.3, 6,1h 18m,documentary
Kaizen,7.3, 651,2h 40m,documentary
Fortune Feimster: Crushing It,6.9, 644,58m,documentary
Home is the Ocean,8.3, 24,1h 34m,documentary
Une famille,6.9, 162,1h 22m,documentary
Young Royals Forever,7.6, 445,53m,documentary
The Murder of Sandra Rivett,6.2, 144,1h 30m,documentary
Salão de Baile,7.3, 53,1h 32m,documentary
Fanmade: Enhypen,7.7, 41,1h 21m,documentary
Trans Memoria,6.3, 31,1h 12m,documentary
Green Line,8.0, 10,2h 30m,documentary
IVE: The 1st World Tour in Cinema,7.3, 54,1h 51m,documentary
Where Dragons Live,7.6, 37,1h 22m,documentary
The Belle from Gaza,6.0, 193,1h 16m,documentary
The Brink of Dreams,7.0, 134,1h 42m,documentary
Norwegian Democrazy,6.3, 64,1h 26m,documentary
Escape from Extinction: Rewilding,9.2, 14,1h 30m,documentary
Desert Angel,9.2, 5,1h 27m,documentary
Favoriten,7.8, 235,1h 58m,documentary
Renee Gracie: Fireproof,6.5, 248,1h 40m,documentary
Bad Actor: A Hollywood Ponzi Scheme,5.3, 161,1h 27m,documentary
